mean_clearing_price,final_clearing_price,price_volatility,n_bids,total_surplus,fundamental_value,price_drift,surplus_EarlyBeliever,count_EarlyBeliever,avg_surplus_EarlyBeliever,surplus_InformedTrader,count_InformedTrader,avg_surplus_InformedTrader,surplus_MomentumTrader,count_MomentumTrader,avg_surplus_MomentumTrader,surplus_OptionValueOptimizer,count_OptionValueOptimizer,avg_surplus_OptionValueOptimizer,surplus_NoiseTrader,count_NoiseTrader,avg_surplus_NoiseTrader,surplus_WhaleAgent,count_WhaleAgent,avg_surplus_WhaleAgent,param_name,param_value,run_id
6.692995657577705,7.3606081293895835,0.9093173539372057,66,12758.02760619974,10.0,0.8027026207824479,7202.894564452931,12,600.2412137044109,0.0,0,0.0,0.0,15,0.0,4854.026812759725,6,809.0044687932874,701.1062289870811,25,28.044249159483243,0.0,8,0.0,n_informed,0,0
8.778807223052924,9.436718679721821,0.9081788638875261,66,4775.207574500192,10.0,0.6603125804208316,2736.713924261193,12,228.05949368843275,0.0,0,0.0,0.0,15,0.0,1542.374311099295,6,257.06238518321584,479.9694184932543,25,19.19877673973017,16.149920646449253,8,2.0187400808061566,n_informed,0,1
6.210389319897111,6.670081768557429,0.5467669891118674,66,24409.940240309694,10.0,0.6129868687136903,11741.184167806567,12,978.4320139838806,0.0,0,0.0,-294.8602489149565,15,-19.657349927663766,9394.965987038071,6,1565.8276645063452,3506.3225099416695,25,140.2529003976668,62.32782443833575,8,7.790978054791969,n_informed,0,2
6.022350355924785,6.600653435476123,0.674771356804064,64,7736.285634245296,10.0,0.6357649739652669,4765.169436600399,12,397.09745305003327,0.0,0,0.0,0.0,15,0.0,2252.8980770339417,6,375.4830128389903,718.2181206109535,24,29.925755025456397,0.0,7,0.0,n_informed,0,3
7.763627556792133,8.080962705185044,0.6244090503822485,67,4064.591980600697,10.0,0.5362694699740513,1125.8951519475763,12,93.82459599563136,0.0,0,0.0,0.0,15,0.0,460.83034452496537,6,76.80505742082757,2207.7609622632845,25,88.31043849053138,270.10552186487035,9,30.011724651652262,n_informed,0,4
6.975649959027692,7.6208253354812765,0.6178074663785659,64,5486.374367304762,10.0,0.6804230317589075,3376.7925085781085,12,281.3993757148424,0.0,0,0.0,0.0,15,0.0,48.236672789641624,6,8.03944546494027,2061.3451859370125,23,89.62370373639185,0.0,8,0.0,n_informed,0,5
7.696206843561156,8.05247535780445,0.6781143482379152,67,4631.876218381085,10.0,0.623703940043538,3216.4540866468533,12,268.03784055390446,0.0,0,0.0,-161.14535778758915,15,-10.743023852505944,895.0377396045603,6,149.17295660076005,681.5297499172597,25,27.261189996690387,0.0,9,0.0,n_informed,0,6
8.02624338407225,8.25520355217159,0.655701230863086,69,9198.251825466523,10.0,0.5868875910685605,4540.637548493659,12,378.3864623744716,0.0,0,0.0,0.0,15,0.0,4119.860901577869,6,686.6434835963115,537.7533753949982,24,22.40639064145826,0.0,12,0.0,n_informed,0,7
8.653739506439308,8.839482764974239,0.653523386582283,67,7770.067610645007,10.0,0.5097602546000206,3361.2920329442836,12,280.10766941202365,0.0,0,0.0,0.0,15,0.0,2564.800380209285,6,427.4667300348808,1843.9751974914384,24,76.8322998954766,0.0,10,0.0,n_informed,0,8
5.649426276601543,6.604331308417024,0.6138286420329204,66,7671.442876933724,10.0,0.6589374173075317,6674.896505014688,12,556.2413754178907,0.0,0,0.0,0.0,15,0.0,958.5898192876314,6,159.7649698812719,37.95655263140583,25,1.518262105256233,0.0,8,0.0,n_informed,0,9
5.2817758388568965,5.561272456978411,0.5569201912275593,66,5821.490096098997,10.0,0.8199266612106675,4446.335276586148,12,370.52793971551233,0.0,0,0.0,0.0,15,0.0,-5.815432208710987,6,-0.9692387014518311,1380.9702517215599,24,57.540427155065,0.0,9,0.0,n_informed,0,10
8.440982399246144,8.78693165898206,0.603625127231077,67,6679.062580288492,10.0,0.45561347433020205,3210.7812801191553,12,267.56510667659626,0.0,0,0.0,0.0,15,0.0,742.0530384598748,6,123.67550640997912,2450.5121294371456,23,106.54400562770198,275.71613227231614,11,25.065102933846923,n_informed,0,11
6.889376525459395,7.042536065368646,0.5429504248736582,61,1221.4076484733816,10.0,0.5510611762850577,303.55145882351997,12,25.29595490196,0.0,0,0.0,-630.656388511015,15,-42.04375923406767,-1.6779848873617402,6,-0.27966414789362337,1550.190563048238,21,73.81859824039228,0.0,7,0.0,n_informed,0,12
7.8655859829859125,8.163516426101179,0.6079044264431549,69,12886.100676641057,10.0,0.4405078902197501,7594.613330555338,12,632.8844442129448,0.0,0,0.0,-82.43989812425419,15,-5.495993208283612,2664.232931707109,6,444.03882195118484,2709.6943125028706,25,108.38777250011482,0.0,11,0.0,n_informed,0,13
7.5367138817609005,7.697417454977609,0.5646316001629583,64,2560.9497990868413,10.0,0.5023940082209037,1715.213745144903,12,142.93447876207526,0.0,0,0.0,0.0,15,0.0,83.62138386106399,6,13.936897310177331,762.114670080875,25,30.484586803235,0.0,6,0.0,n_informed,0,14
6.518246363026158,6.980707834661008,0.7086221189502407,67,12331.113862497636,10.0,0.7720518449551625,7638.7531483659905,12,636.5627623638326,4.953344313614713,1,4.953344313614713,0.0,15,0.0,3108.6432814875297,6,518.107213581255,1578.7640883305,25,63.15056353322,0.0,8,0.0,n_informed,3,0
7.982180182251718,9.29924458334973,0.8383685010251999,67,6846.219363227042,10.0,0.8282287137985891,4482.834159856723,12,373.5695133213936,-39.69245270268024,2,-19.84622635134012,0.0,15,0.0,1902.1669270398693,6,317.02782117331157,490.01963948023956,24,20.417484978343314,10.891089552889568,8,1.361386194111196,n_informed,3,1
6.935315262127264,7.371427141545341,0.6508023620445327,67,20366.43561787668,10.0,0.651513099013779,9461.734400137297,12,788.4778666781081,-54.9931382604796,2,-27.4965691302398,0.0,15,0.0,6551.784582762609,6,1091.9640971271015,4384.29521242672,24,182.6789671844467,23.614560810538514,8,2.951820101317314,n_informed,3,2
7.0596059290391695,7.673489991596908,0.7198529532860082,67,5714.352658074302,10.0,0.734294654799087,2443.897680067209,12,203.65814000560076,0.0,0,0.0,0.0,15,0.0,1030.951901296578,6,171.825316882763,2239.5030767105177,24,93.31262819627158,0.0,10,0.0,n_informed,3,3
6.4455082747695585,6.982829343477501,0.7014399819610815,67,4914.965720516261,10.0,0.829900092428467,4193.8413029552285,12,349.486775246269,-30.012303388217916,1,-30.012303388217916,0.0,15,0.0,1543.510849878579,6,257.2518083130965,-792.374128929327,25,-31.69496515717308,0.0,8,0.0,n_informed,3,4
6.991176229962097,7.3170738579850365,0.5745724006008054,70,4060.1493212619703,10.0,0.6080627162101058,3323.0459585364592,12,276.9204965447049,24.58945283026639,3,8.196484276755463,0.0,15,0.0,34.163516182419656,6,5.693919363736609,678.3503937128249,25,27.134015748512997,0.0,9,0.0,n_informed,3,5
7.438818197252732,10.771220950476877,0.9226874350581552,71,5079.52935380159,10.0,1.2680714854677073,3959.773423501026,12,329.9811186250855,-9.504432763096528,3,-3.1681442543655094,-536.7525410265325,15,-35.78350273510217,1065.1385304204432,6,177.5230884034072,600.8743736697473,24,25.036432236239474,0.0,11,0.0,n_informed,3,6
8.171892386598506,8.513886197278644,0.6813048639568787,69,9688.851756827684,10.0,0.5573117604004019,4239.612727280248,12,353.3010606066873,20.25938586093607,3,6.753128620312023,0.0,15,0.0,3126.0009256131175,6,521.000154268853,2294.6607991123014,25,91.78643196449205,8.317918961080421,8,1.0397398701350526,n_informed,3,7
7.663164035114829,8.230205541476609,0.9202895721220122,66,9073.056757607304,10.0,0.7875025996747296,5107.897193444367,12,425.6580994536973,3.728457047232732,2,1.864228523616366,-27.423531182950732,15,-1.8282354121967155,3052.84542898644,6,508.80757149773996,907.7935042111515,24,37.82472934213131,28.21570510106123,7,4.0308150144373185,n_informed,3,8
7.528772834471894,8.330941700550667,0.6381602186039957,69,3008.007980905241,10.0,0.5541950830468989,1692.4942660910003,12,141.0411888409167,-71.2367736800315,3,-23.745591226677167,-255.02614126614154,15,-17.0017427510761,618.255095142694,6,103.04251585711567,1023.5215346177201,25,40.9408613847088,0.0,8,0.0,n_informed,3,9
6.524186985972193,7.666716027811695,0.586275324933781,68,2533.926651686463,10.0,0.8178216669461416,1265.4260734388176,12,105.45217278656814,-15.935110033352322,3,-5.311703344450774,0.0,15,0.0,2.6493657920715004,6,0.4415609653452501,1281.7863224889254,25,51.27145289955702,0.0,7,0.0,n_informed,3,10
8.00680482771754,8.744623132795098,0.7357276435715502,70,7695.677053213625,10.0,0.5939335959490246,4199.207616924728,12,349.9339680770607,-88.5516741996592,2,-44.2758370998296,-113.04159495835518,15,-7.536106330557012,1995.0940039461038,6,332.51566732435066,1702.9687015008067,25,68.11874806003226,0.0,10,0.0,n_informed,3,11
6.210827975713085,8.733970488516878,0.7772630262568638,68,3840.097230496528,10.0,1.2669844679898525,1949.2957276984475,12,162.44131064153729,-93.55988542508469,3,-31.18662847502823,0.0,15,0.0,-7.134699538644948,6,-1.189116589774158,1991.4960877618103,23,86.58678642442653,0.0,9,0.0,n_informed,3,12
7.234543264337863,7.850857972632978,0.7785756901608384,71,14646.823632698319,10.0,0.6969258794779893,9630.889820639206,12,802.5741517199339,-16.920182048662127,3,-5.640060682887376,0.0,15,0.0,4176.778111401298,6,696.1296852335496,856.0758827064775,25,34.2430353082591,0.0,10,0.0,n_informed,3,13
8.170032365296308,8.51452499501847,0.6699531057075788,72,1280.6283071671169,10.0,0.5504891762672306,455.21678697467144,12,37.934732247889286,89.26215094785942,3,29.75405031595314,-125.35098788315543,15,-8.356732525543695,45.36985311582528,6,7.56164218597088,608.6664349379715,25,24.34665739751886,207.46406907394456,11,18.86036991581314,n_informed,3,14
8.721751594815652,9.334601762173126,0.776978824743339,71,5195.094987025788,10.0,0.6502373886698498,2693.019544218237,12,224.41829535151976,-100.48434750755257,4,-25.121086876888143,0.0,15,0.0,1475.8516906634818,6,245.97528177724698,1126.7080996516245,25,45.06832398606498,0.0,9,0.0,n_informed,6,0
7.494233856087862,8.366886527836323,0.7781988168127296,72,8321.534879056157,10.0,0.8062531165345799,5704.744489411963,12,475.39537411766355,-243.76765629434544,5,-48.75353125886909,0.0,15,0.0,2794.568838165078,6,465.761473027513,65.98920777346066,25,2.6395683109384267,0.0,9,0.0,n_informed,6,1
7.0783865522274345,8.209918790716632,0.7971341657088541,69,20675.060847681798,10.0,0.8027075403555279,9149.906276093248,12,762.4921896744373,-222.7421630200947,6,-37.12369383668245,0.0,15,0.0,7362.632231023033,6,1227.105371837172,4374.0624596956295,22,198.82102089525588,11.202043889990437,8,1.4002554862488046,n_informed,6,2
6.559178953424232,7.664641052165505,0.6491981121860649,68,7888.141647257541,10.0,0.8097622683580188,3476.140259448649,12,289.6783549540541,-69.59947060682067,2,-34.79973530341034,0.0,15,0.0,1800.786764618809,6,300.13112743646815,2680.8140937969024,25,107.2325637518761,0.0,8,0.0,n_informed,6,3
6.809223158397413,7.93925781578241,0.6434296523559846,70,4770.636030719165,10.0,0.851855099936458,3188.0946276111163,12,265.67455230092634,-74.19609598626211,6,-12.36601599771035,0.0,15,0.0,328.5657971846485,6,54.76096619744141,1328.1717019096604,24,55.340487579569185,0.0,7,0.0,n_informed,6,4
5.967343167654183,6.561920458538836,0.6756627808100427,69,5478.200000119563,10.0,0.9226097010255867,6261.083889352044,12,521.756990779337,7.366968179910336,1,7.366968179910336,0.0,15,0.0,612.5692167254618,6,102.09486945424364,-1402.8200741378544,25,-56.11280296551418,0.0,10,0.0,n_informed,6,5
7.856372359886045,8.15868320365578,0.7150497701653862,74,4141.755036320732,10.0,0.6656628902296526,3076.757163648125,12,256.3964303040104,-150.7185357083591,6,-25.119755951393184,-53.836904481281884,15,-3.5891269654187923,1166.8085519733254,6,194.46809199555423,102.74476088892362,25,4.109790435556945,0.0,10,0.0,n_informed,6,6
7.824896026647219,8.634144466232293,0.8636820851345486,69,8814.513226346297,10.0,0.7457552036401915,5104.314387060137,12,425.3595322550114,-20.37203589497709,4,-5.093008973744272,0.0,15,0.0,3776.5350474955335,6,629.4225079159222,-74.36008730614252,25,-2.9744034922457008,28.39591499174678,7,4.056559284535254,n_informed,6,7
6.713649422137542,7.569765757090538,0.8581694106079574,71,12358.19300626665,10.0,0.9611572141768248,7638.373257620558,12,636.5311048017132,-0.8023642035498781,3,-0.26745473451662605,0.0,15,0.0,4325.396984925398,6,720.8994974875664,395.2251279242447,24,16.467713663510196,0.0,11,0.0,n_informed,6,8
6.633332623975641,6.973649608902631,0.6615851180828058,71,5878.875597294656,10.0,0.7073093098773255,3640.0530199180735,12,303.33775165983945,-5.014028492885904,3,-1.671342830961968,0.0,15,0.0,418.1461088277819,6,69.69101813796365,1825.6904970416867,25,73.02761988166748,0.0,10,0.0,n_informed,6,9
5.9150562323848925,6.2581442742751126,0.6129929800706557,67,4119.482539626364,10.0,0.7593429113226202,2592.3633258845307,12,216.03027715704422,-12.469321923165948,2,-6.234660961582974,0.0,15,0.0,4.462468732772001,6,0.7437447887953335,1535.126066932227,24,63.96358612217613,0.0,8,0.0,n_informed,6,10
7.705812633635868,8.590301025688646,0.6916831973548396,71,9557.987649670044,10.0,0.5369965621019537,4882.421359952709,12,406.8684466627258,-274.4270834604534,4,-68.60677086511335,-109.56205233913158,15,-7.304136822608772,3510.0995114612556,6,585.0165852435426,1549.4559140556669,25,61.97823656222668,0.0,9,0.0,n_informed,6,11
6.408417720741689,6.86255170141394,0.6147872202012915,68,3131.6518549697785,10.0,0.7280825573137049,1358.612355780032,12,113.21769631500267,-179.5874064815583,3,-59.8624688271861,0.0,15,0.0,-5.962884766695323,6,-0.9938141277825538,1958.5897904380013,22,89.02680865627279,0.0,10,0.0,n_informed,6,12
8.137478402089984,9.983788709915771,0.9135340837071165,72,12705.64849070181,10.0,0.8751184549828805,6986.434046229688,12,582.2028371858073,-81.34570976916608,6,-13.557618294861014,-25.635382508444806,15,-1.709025500562987,4260.300962988489,6,710.0501604980815,1565.8945737612416,25,62.635782950449666,0.0,8,0.0,n_informed,6,13
6.632940964791087,6.953541640928039,0.6238467068968254,68,4507.313633821692,10.0,0.6998228628658039,4011.4840624588132,12,334.29033853823444,1.6333804250043702,2,0.8166902125021851,-145.51083604938933,15,-9.700722403292621,89.46423211971054,6,14.91070535328509,550.2427948675527,25,22.009711794702106,0.0,8,0.0,n_informed,6,14
7.267335078486764,7.780084642022849,0.6971058528572346,72,10419.861455365919,10.0,0.7654546885943616,5594.264578548974,12,466.18871487908115,-97.18708610932362,4,-24.296771527330904,0.0,15,0.0,3404.2603853306946,6,567.3767308884491,1518.523577595572,25,60.740943103822886,0.0,10,0.0,n_informed,10,0
9.25076780146143,9.44264745824039,0.6702656280025873,75,3353.256629214113,10.0,0.4728108698152895,1810.6808587431874,12,150.89007156193227,498.2700493985252,10,49.82700493985252,0.0,15,0.0,653.4475001712871,6,108.90791669521451,390.8582209011128,24,16.285759204213033,0.0,8,0.0,n_informed,10,1
7.517137564655136,7.919152265069979,0.7526456210295835,72,17736.3703385031,10.0,0.7117083793397438,7937.038189565637,12,661.4198491304697,-37.70421689424049,5,-7.5408433788480975,-119.29227945656893,15,-7.952818630437929,4917.28421788956,6,819.54736964826,5039.0444273987,24,209.9601844749458,0.0,10,0.0,n_informed,10,2
6.453601639470989,6.899587918072938,0.6764517873277643,71,4443.626519981689,10.0,0.7823876616317806,3697.631930743531,12,308.13599422862757,-101.86843493660987,4,-25.46710873415247,0.0,15,0.0,1588.9536869999,6,264.8256144999833,-741.0906628251314,25,-29.643626513005255,0.0,9,0.0,n_informed,10,3
6.478528411795732,6.82265689149499,0.6186184496836001,72,5951.390161293697,10.0,0.7349174378155432,4088.324710454677,12,340.6937258712231,2.2753749046701017,4,0.5688437261675254,0.0,15,0.0,757.920797742566,6,126.32013295709434,1102.8692781917869,25,44.114771127671474,0.0,10,0.0,n_informed,10,4
7.6283833426366945,8.908002415122517,0.7031041781647183,73,2783.8686141521125,10.0,0.8286977767787342,1988.752608508508,12,165.72938404237567,-25.06388097437584,6,-4.177313495729307,0.0,15,0.0,149.4343717149628,6,24.905728619160467,670.7455149030177,25,26.829820596120708,0.0,9,0.0,n_informed,10,5
8.13052567157367,9.37895390906904,0.7713777016727471,74,4159.156172737762,10.0,0.8395262009708337,2480.143599935713,12,206.6786333279761,-122.34545682199071,10,-12.234545682199071,-107.16532752032334,15,-7.144355168021557,769.4215695146697,6,128.23692825244495,1139.1017876296937,24,47.462574484570574,0.0,7,0.0,n_informed,10,6
